Price,CurrentCost,Name,ProductId,cs1_fine_per_product,cs1_fine_per_productName,ProductNumber,cs1_type,Createdon,ModifiedOn,OverriddenCreatedOn
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - orientation,925D6BC9-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,26,10,2018-10-22 05:24:46,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - skills,92C6D7DE-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,27,10,2018-10-22 05:25:22,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - professional,C1B7BCFC-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,28,10,2018-10-22 05:26:12,2019-01-03 12:49:24,NULL
0.00,NULL,English mentor - basic,56E152C6-E466-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,42,10,2017-07-12 09:30:43,2018-11-07 17:26:57,NULL
