"Account_Name","Branch","Owner","Interest","Lead_Source","Hakalot","Amount","Amount_after_discount","ConvertedFromLead"
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","0",FDF1E6A8-C870-E011-A41E-005056BD3748,"",,,0,"0"
EBABAC31-7D90-EB11-80F0-00505697537D,"","4DB3555F-4CDB-E811-8A51-00505697537D","861650007","",,,0,"0DCB5E20-7D90-EB11-80F0-00505697537D"
"","","4DB3555F-4CDB-E811-8A51-00505697537D","","",,,,""
"","","0","75F8E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
"","",B506753D-71B0-EA11-81AC-00505697537D,"","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","9963","81A4F173-541C-E211-A22E-005056BD5C9D","",,,9963,"0"
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"",website organic,"0","75F8E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
"","","25700E6A-0280-EB11-A4F8-00505697537D","","",,,,""
"","","2970",CDF3E6A8-C870-E011-A41E-005056BD3748,"",,,2970,"0"
"8FF58420-8290-EB11-80F0-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","9A938EA1-CA1D-EB11-B993-00505697537D","861650000","",,0,0,"33C32CA9-7C90-EB11-80F0-00505697537D"
"","",DCBCC312-AFFC-EA11-B993-00505697537D,"","",,,,""
"","","2970",A5F1E6A8-C870-E011-A41E-005056BD3748,"",,,2970,"0"
"","","3ABD2507-B108-EB11-B993-00505697537D","","",,,,""
"","","0","05EFE6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
AEF6A196-8590-EB11-80F0-00505697537D,"8CEB78FB-A770-E011-A41E-005056BD3748","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",google,,9963,7970,"55B1FC6D-7A90-EB11-80F0-00505697537D"
"694C0ECD-8590-EB11-80F0-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","89F1B774-D556-EA11-AC48-00505697537D","861650000","",861650000,9483,7660,B4A02ADA-8590-EB11-80F0-00505697537D
"891C3350-8690-EB11-80F0-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","8B56928D-71B0-EA11-81AC-00505697537D","861650000","",,0,0,"5F967B5C-8690-EB11-80F0-00505697537D"
"31A78180-8790-EB11-80F0-00505697537D",CD74585B-47CB-E611-A6A0-0050569937A8,"26AF1387-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,BB683F92-8790-EB11-80F0-00505697537D
EED7FA0F-8890-EB11-80F0-00505697537D,"08C74B2E-B473-E811-B9FF-00505697537D","8B56928D-71B0-EA11-81AC-00505697537D","861650000","",,0,0,"4F9F6117-8890-EB11-80F0-00505697537D"
"37DB0E59-FD02-EB11-B993-00505697537D",EE0B8076-F270-E011-A41E-005056BD3748,"29F2ED2C-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,"3C469721-8890-EB11-80F0-00505697537D"
