"Product Name","id","Product_Code","fine","interest"
פסיכומטרי,"31DDB839-B7D5-E811-8A51-00505697537D","49",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,A8D930E8-B8D5-E811-8A51-00505697537D,"85",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,F84535AD-BAD5-E811-8A51-00505697537D,"29",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"925D6BC9-BAD5-E811-8A51-00505697537D","26",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"92C6D7DE-BAD5-E811-8A51-00505697537D","27",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,C1B7BCFC-BAD5-E811-8A51-00505697537D,"28",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"56E152C6-E466-E711-A4E6-00505697537D","42",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,D6762529-E566-E711-A4E6-00505697537D,"43",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"1748B866-E566-E711-A4E6-00505697537D","44",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,F6C3658A-E566-E711-A4E6-00505697537D,"45",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"66353FBF-27A5-EC11-A8C8-00505697537D","123",D3197AE8-7B87-E011-942D-005056BD3748,10
"","50EF90B7-A702-E911-AD77-00505697537D","69","",10
פסיכומטרי,"2E73F4A0-BEAE-E911-AF9E-00505697537D","25",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,D7F8E6C4-E587-E711-B7F2-00505697537D,"56",D3197AE8-7B87-E011-942D-005056BD3748,20
פסיכומטרי,"3967A6C4-FB7D-E811-B9FF-00505697537D","46",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"78AED62A-FC7D-E811-B9FF-00505697537D","48",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"00C5387D-FC7D-E811-B9FF-00505697537D","86",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"98CDABAC-FC7D-E811-B9FF-00505697537D","87",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,C3CE65E0-FC7D-E811-B9FF-00505697537D,"88",D3197AE8-7B87-E011-942D-005056BD3748,10
פסיכומטרי,"743DEEAE-E133-E711-80D6-0050569937A8","55",D3197AE8-7B87-E011-942D-005056BD3748,10
"","95C54048-2757-E711-A4E6-0050569937A8",ספר GMAT מילולי,"",
"","953A34EC-2957-E711-A4E6-0050569937A8",ספר GMAT כמותי,"",
"",F269BDC2-6796-E011-8D18-005056BD3748,ספר,"",20
בגרויות,"2C446379-5D87-E011-942D-005056BD3748","10","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,CA40E198-5D87-E011-942D-005056BD3748,"11","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,C6A2D729-5E87-E011-942D-005056BD3748,"60","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,"8C712F79-5E87-E011-942D-005056BD3748","61","49D69FDB-7B87-E011-942D-005056BD3748",10
בגרויות,CE7C1192-5E87-E011-942D-005056BD3748,"20","49D69FDB-7B87-E011-942D-005056BD3748",10
