"Contact_Name","Status","Class_Name","Amount","Paid","Course_Name","StudyAgreement","askTeacher","NumOfMiss","Deal_Name","Discount_Reason","Discount_Reason2","interest","hybrid"
CA457005-98D4-EA11-81AC-00505697537D,861650000,"57FBCB4F-5A09-EB11-B993-00505697537D",970,0,"4890E8AF-5EF9-E811-AD77-00505697537D",False,"","",E093686A-7190-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
"5936EBE8-F387-EB11-A4F8-00505697537D",861650002,"1B2795DA-2E66-EB11-B424-00505697537D",3881,3881,"2B937226-8F1E-EB11-B993-00505697537D",False,"","","5C36EBE8-F387-EB11-A4F8-00505697537D",סופשנה אנגלית תלמיד עבר בפגישה,"",b834d78e-e466-e711-a4e6-00505697537d,
"70E22DF1-E58A-EB11-A4F8-00505697537D",861650002,"6720D6C6-F98A-EB11-A4F8-00505697537D",740,740,C383E3B2-8A53-EB11-974B-00505697537D,False,"","",DBD4771B-E68A-EB11-A4F8-00505697537D,"","","",
"3850BD66-7390-EB11-80F0-00505697537D",,"",7970,,F38F5859-0849-EB11-974B-00505697537D,False,"","","14F65173-7390-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
D85744AA-6690-EB11-80F0-00505697537D,861650002,"79DC5851-3C4F-EB11-974B-00505697537D",7970,7970,"687506D6-60F9-E811-AD77-00505697537D",False,"","",DB5744AA-6690-EB11-80F0-00505697537D,"","","",
"8EE16433-7390-EB11-80F0-00505697537D",,EA6A7EF1-10FC-EA11-B993-00505697537D,370,,"1FF69C47-10FC-EA11-B993-00505697537D",False,"","","21CDAFD0-7490-EB11-80F0-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
"8EE16433-7390-EB11-80F0-00505697537D",,"6FCCB897-0DFC-EA11-B993-00505697537D",7390,,E829863E-45BF-EA11-81AC-00505697537D,False,"","","21CDAFD0-7490-EB11-80F0-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
"322F503E-D015-EA11-9AB9-00505697537D",861650002,DC5B1DF3-8676-EB11-A4F8-00505697537D,0,0,"497CD67B-5EF9-E811-AD77-00505697537D",False,"","",A5AA3E48-7590-EB11-80F0-00505697537D,"","","",
"04A288FA-2053-EB11-974B-00505697537D",861650002,ABFAC0B0-5209-EB11-B993-00505697537D,7970,7970,"89CA8E9E-5EF9-E811-AD77-00505697537D",False,"","","38518706-2153-EB11-974B-00505697537D","","","",
"89FE1DA3-7090-EB11-80F0-00505697537D",861650002,"83607FC7-5209-EB11-B993-00505697537D",7970,7970,"89CA8E9E-5EF9-E811-AD77-00505697537D",False,"","","8CC03DC7-7090-EB11-80F0-00505697537D","","","",
D59743FF-7590-EB11-80F0-00505697537D,861650000,"5E8902D9-3C4F-EB11-974B-00505697537D",0,239,CAAEAAC4-61F9-E811-AD77-00505697537D,False,"","",CBE78106-7690-EB11-80F0-00505697537D,"","","",
